id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10519724W,"[\"OL4366105A\"]","[]",,"Oxford history of English literature","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10519781W,"[\"OL4366129A\"]","[]",,"Problems of sex behavior","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10519926W,"[\"OL4366164A\"]","[]",,"Craftsmanship & the printer","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10519967W,"[\"OL4366172A\"]","[]",,"The church monuments of Derbyshire","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10520041W,"[\"OL4366199A\"]","[]",,"The Midland Conservative Club (1883 and after)","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10520199W,"[\"OL4366275A\"]","[]",,"Remarks upon Nazarenus","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10520684W,"[\"OL4366444A\"]","[]",,"A treatise on the nature and properties of air, and other permanently elastic fluids","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10520736W,"[\"OL4366458A\"]","[]",,"[A  sermon preach'd at Ely-House Chapel... June 7, 1716, being the day of publick thanksgiving for the blessing ofGod upon His Majesties Counsels and Arms in suppressing the late unnatural rebellion","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10520908W,"[\"OL4366558A\"]","[]",,"Frauen","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521040W,"[\"OL4366629A\"]","[]",,"The shadow of heaven","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521174W,"[\"OL4366689A\"]","[]",,"The delapsing of Shakespeare","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521329W,"[\"OL4366726A\"]","[]",,"Monsieur Jacques","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521331W,"[\"OL1165633A\"]","[\"William Bayle Bernard\"]",,"The evil genius","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521523W,"[\"OL4366819A\"]","[]",,"Thrice married","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1052159W,"[\"OL104874A\"]","[]",,"Khangaĭn khishig","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10521829W,"[\"OL4366951A\"]","[]",,"The development of food distribution in the United States","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10522441W,"[\"OL4367244A\"]","[]",,"Memo rias","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10523037W,"[\"OL4367564A\"]","[]",,"Bekhterev v Peterburge-Leningrade","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10523161W,"[\"OL4367628A\"]","[]",,"Sibirskaya kollektsiya Petra I","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10523220W,"[\"OL4367667A\"]","[]",,"Doroga na kosmodrom","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10524078W,"[\"OL4368167A\"]","[]",,"Leguas da promissão","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10524188W,"[\"OL4368211A\"]","[]",,"Boca da noite","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10524411W,"[\"OL4368331A\"]","[]",,"Mekhanizm deistviya ekonomicheskogo zakona sotsializma","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10524550W,"[\"OL4368404A\"]","[]",,"Integrirovannaya sistema planirovaniya narodnogo khozyaĭstva soyuznoĭ respubliki","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525015W,"[\"OL4368743A\"]","[]",,"Kinetics of some ligand exchange reactions at Nickel (II) and Cobalt (III) centres in mixed aqueous solvents","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525027W,"[\"OL4368752A\"]","[]",,"Some theoretical studies of rotationally inelastic collisions in atom-molecule systems","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525189W,"[\"OL4368899A\"]","[]",,"Aryan vestiges in the Near East of the second millenary B.C.","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL105252W,"[\"OL1211272A\"]","[]",,"Ilegalniot pečat vo Veles, 1941-1942 godina","[]",2009-10-17
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525417W,"[\"OL4369001A\"]","[]",,"Apomne moneumata","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525450W,"[\"OL4369014A\"]","[]",,"The ideal and the real","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525472W,"[\"OL4369024A\"]","[]",,"Ero te mata pros te n sphinga","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525473W,"[\"OL4369024A\"]","[]",,"Hē dokimasia tou pneumatos","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10525893W,"[\"OL4369210A\"]","[]",,"Aleksei Mikhailovich Unkovskii 1828-1893","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1052617W,"[\"OL104950A\"]","[]","Biography of Premabahāhura Kasā, b. 1918, Newari writer.","Loka sāhityayā anusandhānakartā bhāshā nibhāḥ bhāju Premabahādura Kaṃsākāryā chatvāḥcā jīvanī","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
