id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12351186W,"[\"OL5423636A\"]","[]",,"Titliyon̲ ke par","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12351258W,"[\"OL5423701A\"]","[]",,"Report of the National Workshop on Best Practices in Microfinance Programmes for Women in Coastal Fishing Communities in India","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12351298W,"[\"OL5423741A\"]","[]",,"Libraries and trade unionists","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352120W,"[\"OL5424345A\"]","[]",,"The applicability of ASTED/HPLC to the development of bioanalytical methods","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352329W,"[\"OL5424506A\"]","[]",,"The probability of theism","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352692W,"[\"OL5424761A\"]","[]",,"Diccionario sintáctico del Español medieval","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352845W,"[\"OL5424866A\"]","[]",,"Kodera Kenkichi gagyō gojūnen kinen gashū","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352938W,"[\"OL5424934A\"]","[]",,"Poems","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12352952W,"[\"OL5424944A\"]","[]",,"Outlines of Chinese art","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12353135W,"[\"OL5425083A\"]","[]",,"Philosophie de la Bible hébraïque","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12353529W,"[\"OL5425394A\"]","[]",,"Rachel Heller","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12353785W,"[\"OL5425566A\"]","[]",,"Leninizm i sovremennaia ideologicheskaia bor'ba","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12353808W,"[\"OL5425585A\"]","[]",,"Comedies du XVIe siecle","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12353W,"[\"OL22514A\"]","[]",,"Chicken Socks","[\"1897591\"]",2009-10-08
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12354020W,"[\"OL5425717A\"]","[]",,"Skill learning by normal and learning disabled children under two conditions of feedback","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12354929W,"[\"OL5426376A\"]","[]",,"The outbreak of the Irish Rebellion of 1641","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12354966W,"[\"OL5426403A\"]","[]",,"Three national airs, arr. with variations for the piano forte","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1235504W,"[\"OL124703A\"]","[]",,"Adalbert Stifter","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12355217W,"[\"OL5426592A\"]","[]",,"Magister Johannes Hus und Husinec","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12355230W,"[\"OL5426600A\"]","[]",,"Hokkaidō mori to mizu no hanashi","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12355271W,"[\"OL5426638A\"]","[]",,"Wan qing","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12355628W,"[\"OL5426905A\"]","[]",,"The Dutch Church","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12355968W,"[\"OL5427150A\"]","[]",,"Cum s'a facut unirea basarabiei cu România","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL12356700W,"[\"OL5427676A\"]","[]",,"To the electors of North Down and North Belfast, also to the members of the 1909 General Assembly of the Presbyterian Church in Ireland","[]",2009-12-11
