id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1177141W,"[\"OL3313951A\"]","[\"Hermann Ludwig Heinrich von Pückler-Muskau\"]",,"Puckler's progress","[\"4135382\"]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11771829W,"[\"OL5011303A\"]","[]",,"Terrorismo en Colombia","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772132W,"[\"OL5011513A\"]","[]",,"Society and the land","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772260W,"[\"OL5011618A\"]","[]",,"Sonetti","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772464W,"[\"OL5011766A\"]","[]",,"Gwysaney and Owston","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772480W,"[\"OL5011774A\"]","[]",,"Quran parhna seekhiye","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772490W,"[\"OL5011782A\"]","[]",,"Case studies of co-operation between labor and management","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772542W,"[\"OL5011814A\"]","[]",,"Geology of the area between Athabasca and Embarras Rivers, Alberta","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772701W,"[\"OL5011931A\"]","[]",,"Museum für Musikautomaten","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11772780W,"[\"OL1474335A\"]","[\"Sir Howard Douglas\"]",,"Observations on modern systems of fortification: Including that Proposed by M. Carnot, and a ..","[\"6166197\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11773050W,"[\"OL5012197A\"]","[]",,"Lughāt al-Qurān dar tafsīr Majmaʻ al-bayān","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11773134W,"[\"OL5012262A\"]","[]",,"The wandering patentee","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11773273W,"[\"OL5012351A\"]","[]",,"EARL","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11773360W,"[\"OL5012426A\"]","[]",,"Morad","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11773878W,"[\"OL5012772A\"]","[]",,"Why 'YSE'could not grow and what should be its strategy?","[\"6286538\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774047W,"[\"OL5012891A\"]","[]",,"La noblesse française sous l'ancienne monarchie","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774155W,"[\"OL5012948A\"]","[]",,"The human song","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774206W,"[\"OL5012978A\"]","[]",,"Iolo Goch","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774401W,"[\"OL5013084A\"]","[]",,"Die Staatsphilosophie von Joseph de Maistre im Lichte des Thomismus","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774442W,"[\"OL5013112A\"]","[]",,"Xiang gang ling jie zhi ye shi lu","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774520W,"[\"OL5013160A\"]","[]",,"Xing fu tian shi tong hua","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774605W,"[\"OL5013218A\"]","[]",,"Social forces in education","[\"5339005\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11774896W,"[\"OL5013433A\"]","[]",,"Les droits de l'enfant","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11775113W,"[\"OL5013505A\"]","[]",,"Xin ban tu","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11775468W,"[\"OL5013748A\"]","[]",,"Gwaith","[\"5757807\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11775684W,"[\"OL5013885A\"]","[]",,"'Take and read'","[\"11725171\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11775695W,"[\"OL4576932A\"]","[\"Jaswant Singh Kanwal\"]",,"Kande","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776040W,"[\"OL5014126A\"]","[]",,"Recollections relating to the local history of the Borough of Wallasey","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776167W,"[\"OL5014189A\"]","[]",,"Legendary, lexical, loquacious love","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776183W,"[\"OL5014201A\"]","[]",,"Memoria autógrafa de Cornelio Saavedra","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776518W,"[\"OL5014431A\"]","[]",,"The ice environment of eastern Lancaster Sound and northern Baffin Bay","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776675W,"[\"OL5014540A\"]","[]",,"Gengogaku karamita Heike monogatari maki ichi no seiritsu katei","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776743W,"[\"OL5014597A\"]","[]",,"Beschreibung der Versuche mit der Luftkugel","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776768W,"[\"OL5014614A\"]","[]",,"Critique et histoire de la philosophie, fragments et discours","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11776885W,"[\"OL5014691A\"]","[]",,"Sensor planning for object search","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11777111W,"[\"OL5014823A\"]","[]",,"Was ist die cyrillo-methodeïsche Idee?","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11777136W,"[\"OL5014842A\"]","[]",,"Ichthyological terms for the sturgeon and etymology of the international terms botargo, caviar and congeners","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11777183W,"[\"OL5014875A\"]","[]",,"Tom Bendhem","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11777724W,"[\"OL5015214A\"]","[]",,"Memorandum on Irish coastal shipping, June 1969","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11777810W,"[\"OL5015272A\"]","[]",,"Die freunde =","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1177807W,"[\"OL119042A\"]","[]",,"Estadística ganadera de la república. Chiapas","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11778594W,"[\"OL5015857A\"]","[]",,"Recommendations for amendments to the Internal revenue code, submitted to the Committee on Ways and Means, House of Representatives, July 1969","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11778885W,"[\"OL5016061A\"]","[]",,"Physiological studies on some pathogenic fungi","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11779228W,"[\"OL5016304A\"]","[]",,"Recopilacion en metro del bachiller Diego Sanchez de Badajoz","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11779336W,"[\"OL5016374A\"]","[]",,"A pocketful of meat facts","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11779570W,"[\"OL5016563A\"]","[]","With the aid of Saint Nikolaus and some helpful animals, the children of a poor, sick woodsman travel to the frozen north to get the one thing that will cure their father in time for Christmas.","The Christmas rose","[\"11405354\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11779837W,"[\"OL5016777A\"]","[]",,"Tode sreigen","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1177994W,"[\"OL119058A\"]","[\"F. S. Smythe\"]",,"The six Alpine/Himalayan climbing books","[\"699607\"]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1178014W,"[\"OL119059A\"]","[\"Jean Canu\"]",,"Flaubert","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11780351W,"[\"OL5017076A\"]","[]",,"Ai qing ge ming ji","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11780433W,"[\"OL1213378A\"]","[\"Willem Frederik Hermans\"]","Novellen uit schrijvers beginperiode, die naar vorm en inhoud nog een experimenteel karakter hebben, met als thema de weerloosheid en de onmacht van de mens.","Moedwil en misverstand","[\"5352398\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL117804W,"[\"OL1221746A\"]","[]",,"Film + design","[]",2009-10-18
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL11781113W,"[\"OL5017583A\"]","[]",,"Bahe so Gaṅgā","[]",2009-12-11
